Time,"Cell Type","T3","alpha3","pressure","vtkGhostType"
3.1715e-07,9,300,1,1e+05,0
3.1715e-07,9,300,1,1e+05,0
3.1715e-07,9,300,1,1e+05,0
3.1715e-07,9,300,1,1e+05,0
3.1715e-07,9,300,1,1e+05,0
3.1715e-07,9,300,1,1e+05,0
3.1715e-07,9,300,1,1e+05,0
3.1715e-07,9,300,1,1e+05,0
3.1715e-07,9,300,1,1e+05,0
3.1715e-07,9,300,1,1e+05,0
3.1715e-07,9,300,1,1e+05,0
3.1715e-07,9,300,1,1e+05,0
3.1715e-07,9,300,1,1e+05,0
3.1715e-07,9,300,1,1e+05,0
3.1715e-07,9,300,1,1e+05,0
3.1715e-07,9,300,1,1e+05,0
3.1715e-07,9,300,1,1e+05,0
3.1715e-07,9,300,1,1e+05,0
3.1715e-07,9,300,1,1e+05,0
3.1715e-07,9,300,1,1e+05,0
3.1715e-07,9,300,1,1e+05,0
3.1715e-07,9,300,1,1e+05,0
3.1715e-07,9,300,1,1e+05,0
3.1715e-07,9,300,1,1e+05,0
3.1715e-07,9,300,1,1e+05,0
3.1715e-07,9,300,1,1e+05,0
