Time,"Cell Type","T3","alpha3","alpha3T3","pressure","vtkGhostType"
8.9193e-07,9,311.06,1,311.06,1.5621e+08,0
8.9193e-07,9,311.06,1,311.06,1.5622e+08,0
8.9193e-07,9,311.06,1,311.06,1.5628e+08,0
8.9193e-07,9,311.07,1,311.07,1.5636e+08,0
8.9193e-07,9,311.07,1,311.07,1.5647e+08,0
8.9193e-07,9,311.08,1,311.08,1.5663e+08,0
8.9193e-07,9,311.1,1,311.1,1.5684e+08,0
8.9193e-07,9,311.11,1,311.11,1.5709e+08,0
8.9193e-07,9,311.13,1,311.13,1.5739e+08,0
8.9193e-07,9,311.15,1,311.15,1.5772e+08,0
8.9193e-07,9,311.17,1,311.17,1.5808e+08,0
8.9193e-07,9,311.2,1,311.2,1.5849e+08,0
8.9193e-07,9,311.23,1,311.23,1.5895e+08,0
8.9193e-07,9,311.26,1,311.26,1.5944e+08,0
8.9193e-07,9,311.29,1,311.29,1.5996e+08,0
8.9193e-07,9,311.32,1,311.32,1.6052e+08,0
8.9193e-07,9,311.36,1,311.36,1.611e+08,0
8.9193e-07,9,311.4,1,311.4,1.6172e+08,0
8.9193e-07,9,311.44,1,311.44,1.6238e+08,0
8.9193e-07,9,311.48,1,311.48,1.6308e+08,0
8.9193e-07,9,311.53,1,311.53,1.6382e+08,0
8.9193e-07,9,311.58,1,311.58,1.646e+08,0
8.9193e-07,9,311.63,1,311.63,1.6543e+08,0
8.9193e-07,9,311.68,1,311.68,1.663e+08,0
8.9193e-07,9,311.74,1,311.74,1.6722e+08,0
8.9193e-07,9,311.8,1,311.8,1.6818e+08,0
8.9193e-07,9,311.86,1,311.86,1.6917e+08,0
8.9193e-07,9,311.92,1,311.92,1.7019e+08,0
8.9193e-07,9,311.99,1,311.99,1.7127e+08,0
8.9193e-07,9,312.06,1,312.05,1.7239e+08,0
8.9193e-07,9,312.13,1,312.13,1.7358e+08,0
8.9193e-07,9,312.2,1,312.2,1.7481e+08,0
8.9193e-07,9,312.28,1,312.28,1.7611e+08,0
8.9193e-07,9,312.37,1,312.37,1.7747e+08,0
8.9193e-07,9,312.46,1,312.46,1.7891e+08,0
8.9193e-07,9,312.55,1,312.55,1.8042e+08,0
8.9193e-07,9,312.65,1,312.65,1.82e+08,0
8.9193e-07,9,312.75,1,312.75,1.8368e+08,0
8.9193e-07,9,312.86,1,312.86,1.8543e+08,0
8.9193e-07,9,312.97,1,312.97,1.8726e+08,0
8.9193e-07,9,313.09,1,313.09,1.8917e+08,0
8.9193e-07,9,313.21,1,313.21,1.9114e+08,0
8.9193e-07,9,313.33,1,313.33,1.9319e+08,0
8.9193e-07,9,313.46,1,313.46,1.9533e+08,0
8.9193e-07,9,313.6,1,313.6,1.9758e+08,0
8.9193e-07,9,313.74,1,313.74,1.9994e+08,0
8.9193e-07,9,313.89,1,313.89,2.0239e+08,0
8.9193e-07,9,314.04,1,314.04,2.0494e+08,0
8.9193e-07,9,314.19,1,314.19,2.0758e+08,0
8.9193e-07,9,314.35,1,314.35,2.1032e+08,0
8.9193e-07,9,314.52,1,314.52,2.1322e+08,0
8.9193e-07,9,314.71,1,314.71,2.1627e+08,0
8.9193e-07,9,311.1,1,311.1,1.5635e+08,0
8.9193e-07,9,311.1,1,311.1,1.5637e+08,0
8.9193e-07,9,311.1,1,311.1,1.5643e+08,0
8.9193e-07,9,311.11,1,311.11,1.5652e+08,0
8.9193e-07,9,311.11,1,311.11,1.5664e+08,0
8.9193e-07,9,311.13,1,311.12,1.5681e+08,0
8.9193e-07,9,311.14,1,311.14,1.5702e+08,0
8.9193e-07,9,311.15,1,311.15,1.5727e+08,0
8.9193e-07,9,311.17,1,311.17,1.5756e+08,0
8.9193e-07,9,311.19,1,311.19,1.5788e+08,0
8.9193e-07,9,311.21,1,311.21,1.5823e+08,0
8.9193e-07,9,311.24,1,311.24,1.5863e+08,0
8.9193e-07,9,311.27,1,311.26,1.5906e+08,0
8.9193e-07,9,311.29,1,311.29,1.5953e+08,0
8.9193e-07,9,311.33,1,311.33,1.6004e+08,0
8.9193e-07,9,311.36,1,311.36,1.6058e+08,0
8.9193e-07,9,311.39,1,311.39,1.6116e+08,0
8.9193e-07,9,311.43,1,311.43,1.6177e+08,0
8.9193e-07,9,311.47,1,311.47,1.6242e+08,0
8.9193e-07,9,311.52,1,311.52,1.6311e+08,0
8.9193e-07,9,311.56,1,311.56,1.6385e+08,0
8.9193e-07,9,311.61,1,311.61,1.6462e+08,0
8.9193e-07,9,311.66,1,311.66,1.6544e+08,0
8.9193e-07,9,311.71,1,311.71,1.6632e+08,0
8.9193e-07,9,311.77,1,311.77,1.6724e+08,0
8.9193e-07,9,311.83,1,311.83,1.6821e+08,0
8.9193e-07,9,311.89,1,311.89,1.6921e+08,0
8.9193e-07,9,311.95,1,311.95,1.7025e+08,0
8.9193e-07,9,312.02,1,312.02,1.7134e+08,0
8.9193e-07,9,312.09,1,312.09,1.7248e+08,0
8.9193e-07,9,312.17,1,312.16,1.7367e+08,0
8.9193e-07,9,312.24,1,312.24,1.7492e+08,0
8.9193e-07,9,312.32,1,312.32,1.7623e+08,0
8.9193e-07,9,312.41,1,312.41,1.776e+08,0
8.9193e-07,9,312.5,1,312.5,1.7904e+08,0
8.9193e-07,9,312.59,1,312.59,1.8055e+08,0
8.9193e-07,9,312.69,1,312.68,1.8213e+08,0
8.9193e-07,9,312.79,1,312.79,1.8379e+08,0
8.9193e-07,9,312.89,1,312.89,1.8553e+08,0
8.9193e-07,9,313,1,313,1.8735e+08,0
8.9193e-07,9,313.12,1,313.12,1.8924e+08,0
8.9193e-07,9,313.24,1,313.24,1.9121e+08,0
8.9193e-07,9,313.37,1,313.37,1.9327e+08,0
8.9193e-07,9,313.5,1,313.5,1.9543e+08,0
8.9193e-07,9,313.63,1,313.63,1.9768e+08,0
8.9193e-07,9,313.78,1,313.78,2.0004e+08,0
8.9193e-07,9,313.92,1,313.92,2.025e+08,0
8.9193e-07,9,314.08,1,314.08,2.0505e+08,0
8.9193e-07,9,314.22,1,314.22,2.0771e+08,0
8.9193e-07,9,314.39,1,314.39,2.1046e+08,0
8.9193e-07,9,314.56,1,314.56,2.1335e+08,0
8.9193e-07,9,314.74,1,314.74,2.1636e+08,0
