Time,"Points:0","Points:1","Points:2","Tm"
8.9812e-07,0.00012891,0.00094736,0,301.22
8.9812e-07,0.000125,0.00094734,0,301.22
8.9812e-07,0.00013281,0.00094732,0,301.21
8.9812e-07,0.00013672,0.00094728,0,301.21
8.9812e-07,0.00014062,0.00094724,0,301.2
8.9812e-07,0.00014453,0.00094721,0,301.2
8.9812e-07,0.00014844,0.00094718,0,301.2
8.9812e-07,0.00015234,0.00094715,0,301.19
8.9812e-07,0.00015625,0.00094712,0,301.19
8.9812e-07,0.00016016,0.00094709,0,301.19
8.9812e-07,0.00016406,0.00094707,0,301.18
8.9812e-07,0.00016797,0.00094705,0,301.18
8.9812e-07,0.00017187,0.00094702,0,301.18
8.9812e-07,0.00017578,0.000947,0,301.17
8.9812e-07,0.00017969,0.00094699,0,301.17
8.9812e-07,0.00018359,0.00094697,0,301.17
8.9812e-07,0.0001875,0.00094696,0,301.17
8.9812e-07,0.00019141,0.00094695,0,301.16
8.9812e-07,0.00019531,0.00094693,0,301.16
8.9812e-07,0.00019922,0.00094692,0,301.16
8.9812e-07,0.00020313,0.00094691,0,301.16
8.9812e-07,0.00020703,0.00094689,0,301.16
8.9812e-07,0.00021094,0.00094688,0,301.15
8.9812e-07,0.00021484,0.00094687,0,301.15
8.9812e-07,0.00021875,0.00094686,0,301.15
8.9812e-07,0.00022266,0.00094686,0,301.15
8.9812e-07,0.00022656,0.00094685,0,301.15
8.9812e-07,0.00023047,0.00094684,0,301.15
8.9812e-07,0.00023437,0.00094683,0,301.15
8.9812e-07,0.00023828,0.00094683,0,301.15
8.9812e-07,0.00024219,0.00094682,0,301.15
8.9812e-07,0.00024609,0.00094682,0,301.14
8.9812e-07,0.00025,0.00094684,0,301.14
8.9812e-07,0.00025391,0.00094687,0,301.14
8.9812e-07,0.00025781,0.00094686,0,301.14
8.9812e-07,0.00026172,0.00094686,0,301.13
8.9812e-07,0.00026563,0.00094685,0,301.13
8.9812e-07,0.00026953,0.00094685,0,301.13
8.9812e-07,0.00027344,0.00094684,0,301.13
8.9812e-07,0.00027734,0.00094684,0,301.13
8.9812e-07,0.00028125,0.00094684,0,301.13
8.9812e-07,0.00028516,0.00094683,0,301.14
8.9812e-07,0.00028906,0.00094683,0,301.14
8.9812e-07,0.00029297,0.00094683,0,301.14
8.9812e-07,0.00029687,0.00094682,0,301.14
8.9812e-07,0.00030078,0.00094682,0,301.14
8.9812e-07,0.00030469,0.00094682,0,301.14
8.9812e-07,0.00030859,0.00094681,0,301.15
8.9812e-07,0.0003125,0.00094681,0,301.15
8.9812e-07,0.00031641,0.00094681,0,301.15
8.9812e-07,0.00032031,0.00094681,0,301.15
8.9812e-07,0.00032422,0.0009468,0,301.16
8.9812e-07,0.00032812,0.0009468,0,301.16
8.9812e-07,0.00033203,0.0009468,0,301.16
8.9812e-07,0.00033594,0.0009468,0,301.17
8.9812e-07,0.00033984,0.0009468,0,301.17
8.9812e-07,0.00034375,0.00094679,0,301.17
8.9812e-07,0.00034766,0.00094679,0,301.18
8.9812e-07,0.00035156,0.00094679,0,301.18
8.9812e-07,0.00035547,0.00094679,0,301.19
8.9812e-07,0.00035938,0.00094679,0,301.19
8.9812e-07,0.00036328,0.00094678,0,301.2
8.9812e-07,0.00036719,0.00094678,0,301.2
8.9812e-07,0.00037109,0.00094678,0,301.21
8.9812e-07,0.000375,0.00094678,0,301.21
8.9812e-07,0.00037891,0.00094678,0,301.22
8.9812e-07,0.00038281,0.00094678,0,301.22
8.9812e-07,0.00038672,0.00094678,0,301.23
8.9812e-07,0.00039063,0.00094678,0,301.23
8.9812e-07,0.00039453,0.00094677,0,301.24
8.9812e-07,0.00039844,0.00094677,0,301.25
8.9812e-07,0.00040234,0.00094677,0,301.26
8.9812e-07,0.00040625,0.00094677,0,301.28
8.9812e-07,0.00041016,0.00094677,0,301.3
8.9812e-07,0.00041406,0.00094677,0,301.33
8.9812e-07,0.00041797,0.00094677,0,301.38
8.9812e-07,0.00042188,0.00094677,0,301.42
8.9812e-07,0.00042578,0.00094677,0,301.44
8.9812e-07,0.00042969,0.00094677,0,301.45
8.9812e-07,0.00043359,0.00094677,0,301.45
8.9812e-07,0.0004375,0.00094677,0,301.45
8.9812e-07,0.00044141,0.00094677,0,301.46
8.9812e-07,0.00044531,0.00094677,0,301.46
8.9812e-07,0.00044922,0.00094677,0,301.46
8.9812e-07,0.00045312,0.00094677,0,301.46
8.9812e-07,0.00045703,0.00094677,0,301.46
8.9812e-07,0.00046094,0.00094677,0,301.46
8.9812e-07,0.00046484,0.00094677,0,301.46
8.9812e-07,0.00046875,0.00094677,0,301.46
8.9812e-07,0.00047266,0.00094677,0,301.46
8.9812e-07,0.00047656,0.00094677,0,301.46
8.9812e-07,0.00048047,0.00094677,0,301.46
8.9812e-07,0.00048437,0.00094677,0,301.46
8.9812e-07,0.00048828,0.00094677,0,301.46
8.9812e-07,0.00049219,0.00094677,0,301.46
8.9812e-07,0.00049609,0.00094677,0,301.46
8.9812e-07,0.0005,0.00094677,0,301.46
8.9812e-07,-0.00012891,0.00094736,0,301.22
8.9812e-07,-0.000125,0.00094734,0,301.22
8.9812e-07,-0.00013281,0.00094732,0,301.21
8.9812e-07,-0.00013672,0.00094728,0,301.21
8.9812e-07,-0.00014062,0.00094724,0,301.2
8.9812e-07,-0.00014453,0.00094721,0,301.2
8.9812e-07,-0.00014844,0.00094718,0,301.2
8.9812e-07,-0.00015234,0.00094715,0,301.19
8.9812e-07,-0.00015625,0.00094712,0,301.19
8.9812e-07,-0.00016016,0.00094709,0,301.19
8.9812e-07,-0.00016406,0.00094707,0,301.18
8.9812e-07,-0.00016797,0.00094705,0,301.18
8.9812e-07,-0.00017187,0.00094702,0,301.18
8.9812e-07,-0.00017578,0.000947,0,301.17
8.9812e-07,-0.00017969,0.00094699,0,301.17
8.9812e-07,-0.00018359,0.00094697,0,301.17
8.9812e-07,-0.0001875,0.00094696,0,301.17
8.9812e-07,-0.00019141,0.00094695,0,301.16
8.9812e-07,-0.00019531,0.00094693,0,301.16
8.9812e-07,-0.00019922,0.00094692,0,301.16
8.9812e-07,-0.00020313,0.00094691,0,301.16
8.9812e-07,-0.00020703,0.00094689,0,301.16
8.9812e-07,-0.00021094,0.00094688,0,301.15
8.9812e-07,-0.00021484,0.00094687,0,301.15
8.9812e-07,-0.00021875,0.00094686,0,301.15
8.9812e-07,-0.00022266,0.00094686,0,301.15
8.9812e-07,-0.00022656,0.00094685,0,301.15
8.9812e-07,-0.00023047,0.00094684,0,301.15
8.9812e-07,-0.00023437,0.00094683,0,301.15
8.9812e-07,-0.00023828,0.00094683,0,301.15
8.9812e-07,-0.00024219,0.00094682,0,301.15
8.9812e-07,-0.00024609,0.00094682,0,301.14
8.9812e-07,-0.00025,0.00094684,0,301.14
8.9812e-07,-0.00025391,0.00094687,0,301.14
8.9812e-07,-0.00025781,0.00094686,0,301.14
8.9812e-07,-0.00026172,0.00094686,0,301.13
8.9812e-07,-0.00026563,0.00094685,0,301.13
8.9812e-07,-0.00026953,0.00094685,0,301.13
8.9812e-07,-0.00027344,0.00094684,0,301.13
8.9812e-07,-0.00027734,0.00094684,0,301.13
8.9812e-07,-0.00028125,0.00094684,0,301.13
8.9812e-07,-0.00028516,0.00094683,0,301.14
8.9812e-07,-0.00028906,0.00094683,0,301.14
8.9812e-07,-0.00029297,0.00094683,0,301.14
8.9812e-07,-0.00029687,0.00094682,0,301.14
8.9812e-07,-0.00030078,0.00094682,0,301.14
8.9812e-07,-0.00030469,0.00094682,0,301.14
8.9812e-07,-0.00030859,0.00094681,0,301.15
8.9812e-07,-0.0003125,0.00094681,0,301.15
8.9812e-07,-0.00031641,0.00094681,0,301.15
8.9812e-07,-0.00032031,0.00094681,0,301.15
8.9812e-07,-0.00032422,0.0009468,0,301.16
8.9812e-07,-0.00032812,0.0009468,0,301.16
8.9812e-07,-0.00033203,0.0009468,0,301.16
8.9812e-07,-0.00033594,0.0009468,0,301.17
8.9812e-07,-0.00033984,0.0009468,0,301.17
8.9812e-07,-0.00034375,0.00094679,0,301.17
8.9812e-07,-0.00034766,0.00094679,0,301.18
8.9812e-07,-0.00035156,0.00094679,0,301.18
8.9812e-07,-0.00035547,0.00094679,0,301.19
8.9812e-07,-0.00035938,0.00094679,0,301.19
8.9812e-07,-0.00036328,0.00094678,0,301.2
8.9812e-07,-0.00036719,0.00094678,0,301.2
8.9812e-07,-0.00037109,0.00094678,0,301.21
8.9812e-07,-0.000375,0.00094678,0,301.21
8.9812e-07,-0.00037891,0.00094678,0,301.22
8.9812e-07,-0.00038281,0.00094678,0,301.22
8.9812e-07,-0.00038672,0.00094678,0,301.23
8.9812e-07,-0.00039063,0.00094678,0,301.23
8.9812e-07,-0.00039453,0.00094677,0,301.24
8.9812e-07,-0.00039844,0.00094677,0,301.25
8.9812e-07,-0.00040234,0.00094677,0,301.26
8.9812e-07,-0.00040625,0.00094677,0,301.28
8.9812e-07,-0.00041016,0.00094677,0,301.3
8.9812e-07,-0.00041406,0.00094677,0,301.33
8.9812e-07,-0.00041797,0.00094677,0,301.38
8.9812e-07,-0.00042188,0.00094677,0,301.42
8.9812e-07,-0.00042578,0.00094677,0,301.44
8.9812e-07,-0.00042969,0.00094677,0,301.45
8.9812e-07,-0.00043359,0.00094677,0,301.45
8.9812e-07,-0.0004375,0.00094677,0,301.45
8.9812e-07,-0.00044141,0.00094677,0,301.46
8.9812e-07,-0.00044531,0.00094677,0,301.46
8.9812e-07,-0.00044922,0.00094677,0,301.46
8.9812e-07,-0.00045312,0.00094677,0,301.46
8.9812e-07,-0.00045703,0.00094677,0,301.46
8.9812e-07,-0.00046094,0.00094677,0,301.46
8.9812e-07,-0.00046484,0.00094677,0,301.46
8.9812e-07,-0.00046875,0.00094677,0,301.46
8.9812e-07,-0.00047266,0.00094677,0,301.46
8.9812e-07,-0.00047656,0.00094677,0,301.46
8.9812e-07,-0.00048047,0.00094677,0,301.46
8.9812e-07,-0.00048437,0.00094677,0,301.46
8.9812e-07,-0.00048828,0.00094677,0,301.46
8.9812e-07,-0.00049219,0.00094677,0,301.46
8.9812e-07,-0.00049609,0.00094677,0,301.46
8.9812e-07,-0.0005,0.00094677,0,301.46
8.9812e-07,0.00011133,0.00094529,0,301.24
8.9812e-07,0.00010959,0.00094531,0,301.25
8.9812e-07,0.00011328,0.00094528,0,301.24
8.9812e-07,0.00011523,0.00094526,0,301.24
8.9812e-07,0.00011719,0.00094524,0,301.24
8.9812e-07,0.00011914,0.00094522,0,301.23
8.9812e-07,0.00012109,0.00094523,0,301.23
